,t_u,t_p,C_D,C_L
0,0.000625,0.0003125,0.13047119591696957,-4.260350843392307e-05
1,0.00125,0.0009375,0.13980710831357548,-7.06815198789952e-05
2,0.001875,0.0015624999999999999,0.14039953887262946,-5.389197989769885e-05
3,0.0025,0.0021875,0.14165744940655825,-5.267624116942676e-05
4,0.003125,0.0028125000000000003,0.14283757017784846,-5.0719078961367264e-05
5,0.0037500000000000003,0.0034375000000000005,0.14409519184683134,-5.0862313424359866e-05
6,0.004375,0.0040625,0.14519236341921518,-4.9730007419839835e-05
7,0.005,0.0046875,0.14627981113866315,-4.955183991442776e-05
8,0.005625,0.0053124999999999995,0.14727336465392138,-4.8825278004737924e-05
9,0.0062499999999999995,0.005937499999999999,0.14824325637618974,-4.8564301467238764e-05
10,0.006874999999999999,0.006562499999999999,0.14915375531412897,-4.8058571491257685e-05
11,0.007499999999999999,0.007187499999999999,0.15003911511852996,-4.778655480218854e-05
12,0.008124999999999999,0.007812499999999998,0.15088344960920452,-4.740894398988725e-05
13,0.008749999999999999,0.008437499999999999,0.15170453112090843,-4.7153227882624155e-05
14,0.009375,0.0090625,0.1524952282631963,-4.6856978639001224e-05
15,0.01,0.0096875,0.1532653008122149,-4.6626906449220124e-05
16,0.010625,0.0103125,0.15401164828392291,-4.638655671968253e-05
17,0.011250000000000001,0.010937500000000001,0.15473992743973483,-4.618381546780002e-05
18,0.011875000000000002,0.011562500000000002,0.15544893537471322,-4.5984332123805236e-05
19,0.012500000000000002,0.012187500000000002,0.15614212875531405,-4.5807436727616274e-05
20,0.013125000000000003,0.012812500000000003,0.15681920016570333,-4.5639244960433856e-05
21,0.013750000000000004,0.013437500000000003,0.15748237499913012,-4.548554534980824e-05
22,0.014375000000000004,0.014062500000000004,0.1581317587051977,-4.5342117252353674e-05
23,0.015000000000000005,0.014687500000000004,0.15876885846971775,-4.520868548869891e-05
24,0.015625000000000003,0.015312500000000003,0.15939395722313113,-4.508530400553999e-05
25,0.016250000000000004,0.015937500000000004,0.16000812560428776,-4.496932167573446e-05
26,0.016875000000000005,0.016562500000000004,0.1606117093182792,-4.486242083592123e-05
27,0.017500000000000005,0.017187500000000005,0.16120550247353527,-4.476133688899345e-05
28,0.018125000000000006,0.017812500000000005,0.16178985871565327,-4.466812999483007e-05
29,0.018750000000000006,0.018437500000000006,0.16236538965041,-4.457970855004799e-05
30,0.019375000000000007,0.019062500000000007,0.16293243195941157,-4.449796590330683e-05
31,0.020000000000000007,0.019687500000000007,0.1634914719014965,-4.4420283191342994e-05
32,0.020625000000000008,0.020312500000000008,0.16404281921256028,-4.4348191657604835e-05
33,0.02125000000000001,0.020937500000000008,0.1645868707568646,-4.4279611059583386e-05
34,0.02187500000000001,0.02156250000000001,0.16512390665899804,-4.421568020573841e-05
35,0.02250000000000001,0.02218750000000001,0.16565425779416765,-4.415481932807517e-05
36,0.02312500000000001,0.02281250000000001,0.16617817545280716,-4.409781521369598e-05
37,0.02375000000000001,0.02343750000000001,0.16669594028442,-4.404351175680023e-05
38,0.02437500000000001,0.02406250000000001,0.1672077770001129,-4.399240803572916e-05
39,0.025000000000000012,0.02468750000000001,0.1677139269939142,-4.394368765250632e-05
40,0.025625000000000012,0.025312500000000012,0.16821459114816195,-4.389762808781497e-05
41,0.026250000000000013,0.025937500000000013,0.16870997947517172,-4.385367551839002e-05
42,0.026875000000000013,0.026562500000000013,0.1692002718010036,-4.381194439258977e-05
43,0.027500000000000014,0.027187500000000014,0.16968565256979715,-4.377207824383242e-05
44,0.028125000000000015,0.027812500000000014,0.17016628313322654,-4.373407652413083e-05
45,0.028750000000000015,0.028437500000000015,0.17064232676997843,-4.369772759106295e-05
46,0.029375000000000016,0.029062500000000015,0.17111392866855496,-4.36629534404936e-05
47,0.030000000000000016,0.029687500000000016,0.1715812343518216,-4.3629646286553556e-05
48,0.030625000000000017,0.030312500000000017,0.1720443748708443,-4.3597678976961666e-05
49,0.031250000000000014,0.030937500000000014,0.17250348068487578,-4.3567016376843e-05
50,0.031875000000000014,0.031562500000000014,0.17295867046311034,-4.353750291678305e-05
51,0.032500000000000015,0.032187500000000015,0.17341006176269777,-4.3509152801536215e-05
52,0.033125000000000016,0.032812500000000015,0.17385776238395656,-4.348179679835739e-05
53,0.033750000000000016,0.033437500000000016,0.1743018787423356,-4.3455481308629565e-05
54,0.03437500000000002,0.034062500000000016,0.17474250907041783,-4.343003365039865e-05
55,0.03500000000000002,0.03468750000000002,0.17517975009343487,-4.3405520011273817e-05
56,0.03562500000000002,0.03531250000000002,0.1756136915951704,-4.3381771067937076e-05
57,0.03625000000000002,0.03593750000000002,0.17604442182016336,-4.3358863967151206e-05
58,0.03687500000000002,0.03656250000000002,0.1764720230670047,-4.333663707236261e-05
59,0.03750000000000002,0.03718750000000002,0.17689657611674933,-4.331517231530712e-05
60,0.03812500000000002,0.03781250000000002,0.177318156614518,-4.3294318298302547e-05
61,0.03875000000000002,0.03843750000000002,0.17773683874020335,-4.327415753234576e-05
62,0.03937500000000002,0.03906250000000002,0.17815269220532526,-4.3254550153510106e-05
63,0.04000000000000002,0.03968750000000002,0.17856578532489517,-4.3235576464373925e-05
64,0.04062500000000002,0.04031250000000002,0.17897618250186684,-4.321710859221934e-05
65,0.04125000000000002,0.04093750000000002,0.1793839468189631,-4.319922286315606e-05
66,0.04187500000000002,0.04156250000000002,0.17978913791495346,-4.318180327248843e-05
67,0.042500000000000024,0.042187500000000024,0.18019181418696292,-4.3164921139622155e-05
68,0.043125000000000024,0.042812500000000024,0.1805920309853212,-4.314847184950414e-05
69,0.043750000000000025,0.043437500000000025,0.18098984249634895,-4.313252118171402e-05
70,0.044375000000000026,0.044062500000000025,0.18138530019911023,-4.31169752169084e-05
71,0.045000000000000026,0.044687500000000026,0.1817784544835012,-4.3101894022055415e-05
72,0.04562500000000003,0.045312500000000026,0.18216935332423084,-4.308719355566264e-05
73,0.04625000000000003,0.04593750000000003,0.1825580436779353,-4.307292823378623e-05
74,0.04687500000000003,0.04656250000000003,0.18294457033883924,-4.305902303453505e-05
75,0.04750000000000003,0.04718750000000003,0.18332897714985638,-4.3045526932113244e-05
76,0.04812500000000003,0.04781250000000003,0.1837113060113996,-4.3032373069866406e-05
77,0.04875000000000003,0.04843750000000003,0.18409159793490812,-4.301960528071004e-05
78,0.04937500000000003,0.04906250000000003,0.1844698921815018,-4.3007164045233205e-05
79,0.05000000000000003,0.04968750000000003,0.18484622718129717,-4.2995088406846165e-05
80,0.05062500000000003,0.05031250000000003,0.18522063978275882,-4.2983325410153845e-05
81,0.05125000000000003,0.05093750000000003,0.18559316605713436,-4.297190968392705e-05
82,0.05187500000000003,0.05156250000000003,0.18596384064257623,-4.2960794107375474e-05
83,0.05250000000000003,0.05218750000000003,0.1863326974498426,-4.295000928323946e-05
84,0.05312500000000003,0.05281250000000003,0.18669976908795946,-4.293951326282271e-05
85,0.053750000000000034,0.053437500000000034,0.18706508748466724,-4.2929332988752174e-05
86,0.054375000000000034,0.054062500000000034,0.18742868338246377,-4.291943109522471e-05
