,t_u,t_p,p_diff,C_D,C_L,num_velocity_dofs,num_pressure_dofs
0,0.000625,0.0003125,-0.7281774490647308,14.417671370539662,-0.05439528790853887,16752,8376
1,0.00125,0.0009375,-0.09952333380975453,5.52894801428882,-0.1491066469691577,16752,8376
2,0.001875,0.0015624999999999999,-0.12197166840107593,3.5938497158926213,-0.23801185217563167,16752,8376
3,0.0025,0.0021875,-0.06485567905807876,2.5448876649189356,-0.2993928615137645,16752,8376
4,0.003125,0.0028125000000000003,-0.0211846128782891,1.4795801661243915,-0.32216375183511664,16752,8376
5,0.0037500000000000003,0.0034375000000000005,0.006506769851764238,0.692419398374797,-0.3086046946092801,16752,8376
6,0.004375,0.0040625,0.021532690745795557,0.24289857632112297,-0.2661208567073934,16752,8376
7,0.005,0.0046875,0.02801852473008526,0.04075898157602183,-0.2061475641653776,16752,8376
8,0.005625,0.0053124999999999995,0.030308966273168925,-0.03026916019385097,-0.1419787174182437,16752,8376
9,0.0062499999999999995,0.005937499999999999,0.031156727700076048,-0.04964604883433903,-0.08486843760320051,16752,8376
10,0.006874999999999999,0.006562499999999999,0.031469234665490675,-0.04935354117652184,-0.04161340734613175,16752,8376
11,0.007499999999999999,0.007187499999999999,0.031198300980643245,-0.03336111713232809,-0.014382679405700798,16752,8376
12,0.008124999999999999,0.007812499999999998,0.030155307670744924,0.0007164810149928296,-0.0020044961593391596,16752,8376
13,0.008749999999999999,0.008437499999999999,0.02840029963393953,0.05055933989862789,-0.0013637563774896427,16752,8376
14,0.009375,0.0090625,0.026242422829539147,0.10812053160803384,-0.008632667947691422,16752,8376
15,0.01,0.0096875,0.024086750723562034,0.16338005233994593,-0.02012648141788037,16752,8376
16,0.010625,0.0103125,0.022274273760747976,0.2081061726708758,-0.032822137612974644,16752,8376
17,0.011250000000000001,0.010937500000000001,0.02100046014858825,0.23783584083473217,-0.044566143478473895,16752,8376
18,0.011875000000000002,0.011562500000000002,0.02030832931195259,0.25198004061964924,-0.05406198245744355,16752,8376
19,0.012500000000000002,0.012187500000000002,0.020127692021229993,0.25278498284783363,-0.06073585931604303,16752,8376
20,0.013125000000000003,0.012812500000000003,0.020328265230410647,0.2439520781599687,-0.06455850295067664,16752,8376
21,0.013750000000000004,0.013437500000000003,0.02076543063833214,0.22945180158365755,-0.06586892022565125,16752,8376
22,0.014375000000000004,0.014062500000000004,0.021310134391649638,0.21275266655836095,-0.06521992958700064,16752,8376
23,0.015000000000000005,0.014687500000000004,0.02186311959627829,0.19645920991647112,-0.06325212840709173,16752,8376
24,0.015625000000000003,0.015312500000000003,0.022358191853550036,0.1822471289992208,-0.06059564615041745,16752,8376
25,0.016250000000000004,0.015937500000000004,0.02275907672149624,0.17096843243915621,-0.05779907253560181,16752,8376
26,0.016875000000000005,0.016562500000000004,0.023053522130420334,0.1628289540779424,-0.05528480562511145,16752,8376
27,0.017500000000000005,0.017187500000000005,0.023246714516382383,0.1575802830160981,-0.053329434116678176,16752,8376
28,0.018125000000000006,0.017812500000000005,0.02335499464746882,0.1546975910462204,-0.05206629734745788,16752,8376
29,0.018750000000000006,0.018437500000000006,0.023400341537733405,0.15353086666915258,-0.051505354323287275,16752,8376
30,0.019375000000000007,0.019062500000000007,0.023405881428859243,0.15342388028889842,-0.051564073284778716,16752,8376
31,0.020000000000000007,0.019687500000000007,0.023392585642709518,0.15379828011892474,-0.05210267036390937,16752,8376
32,0.020625000000000008,0.020312500000000008,0.02337723138974479,0.1542035456635465,-0.0529577523903308,16752,8376
33,0.02125000000000001,0.020937500000000008,0.023371439201634314,0.15433511329301308,-0.053970400833897085,16752,8376
34,0.02187500000000001,0.02156250000000001,0.023381810016551263,0.15402847660949937,-0.05500556940905633,16752,8376
35,0.02250000000000001,0.02218750000000001,0.023410570401955155,0.15323629537031047,-0.055963265504852686,16752,8376
36,0.02312500000000001,0.02281250000000001,0.023456707238174723,0.15199718567769047,-0.05678151896763056,16752,8376
37,0.02375000000000001,0.02343750000000001,0.02351712083590818,0.15040250253050289,-0.057433555339354264,16752,8376
38,0.02437500000000001,0.02406250000000001,0.02358770541367372,0.1485670373907635,-0.0579210452579792,16752,8376
39,0.025000000000000012,0.02468750000000001,0.023664221425126364,0.14660597978398857,-0.05826549410923752,16752,8376
40,0.025625000000000012,0.025312500000000012,0.023742897695896104,0.14461930267767711,-0.05849954938184795,16752,8376
41,0.026250000000000013,0.025937500000000013,0.023820777264658477,0.14268325785167918,-0.05865940428025595,16752,8376
42,0.026875000000000013,0.026562500000000013,0.0238958441738093,0.14084777650991362,-0.058778990547995985,16752,8376
43,0.027500000000000014,0.027187500000000014,0.023966985833840382,0.1391381888000098,-0.05888620237878619,16752,8376
44,0.028125000000000015,0.027812500000000014,0.024033849091739556,0.13755963506235802,-0.05900104617216957,16752,8376
45,0.028750000000000015,0.028437500000000015,0.02409664290566893,0.1361027245825327,-0.059135385055485046,16752,8376
46,0.029375000000000016,0.029062500000000015,0.024155930362798617,0.13474930363672816,-0.05929383467185153,16752,8376
47,0.030000000000000016,0.029687500000000016,0.024212440540013924,0.13347754477045903,-0.05947534745488575,16752,8376
48,0.030625000000000017,0.030312500000000017,0.02426691850931606,0.13226590703244231,-0.05967507042453511,16752,8376
49,0.031250000000000014,0.030937500000000014,0.024320021081488896,0.13109580543716298,-0.059886149726829076,16752,8376
50,0.031875000000000014,0.031562500000000014,0.024372257523489482,0.1299530470708698,-0.06010125992514717,16752,8376
51,0.032500000000000015,0.032187500000000015,0.02442396881867448,0.12882823473505803,-0.06031373870228879,16752,8376
