,t_u,t_p,p_diff,C_D,C_L,num_velocity_dofs,num_pressure_dofs
0,0.000625,0.0003125,-0.05555703932731859,1.4400762646549248,-0.029625529175541315,16752,8376
1,0.00125,0.0009375,0.07545786325727155,-0.5111141728400896,-0.023494824846827824,16752,8376
2,0.001875,0.0015624999999999999,0.050987186098946244,-0.49998820614622874,-0.007965541575841353,16752,8376
3,0.0025,0.0021875,0.045613614089624055,-0.24401660828289623,0.004487285454740942,16752,8376
4,0.003125,0.0028125000000000003,0.03915897390516743,-0.060537907357579274,0.012720660701259106,16752,8376
5,0.0037500000000000003,0.0034375000000000005,0.03412739656175601,0.062339685479039,0.015553886348936511,16752,8376
6,0.004375,0.0040625,0.03120302078300108,0.13391991362956665,0.012884634639735484,16752,8376
7,0.005,0.0046875,0.029832095474582432,0.1667834370491624,0.006080650582450555,16752,8376
8,0.005625,0.0053124999999999995,0.029344787009291773,0.17649580322602063,-0.002615409879059709,16752,8376
9,0.0062499999999999995,0.005937499999999999,0.029257641027098602,0.17522802925547784,-0.010902416619911412,16752,8376
10,0.006874999999999999,0.006562499999999999,0.02931403442075642,0.1698075678361051,-0.017123273098158087,16752,8376
11,0.007499999999999999,0.007187499999999999,0.029416059217144408,0.1630586879984812,-0.020557252013448796,16752,8376
12,0.008124999999999999,0.007812499999999998,0.029542951424210484,0.15586968178902866,-0.021295260836233714,16752,8376
13,0.008749999999999999,0.008437499999999999,0.02968746472174577,0.14863036236663663,-0.0199517444135137,16752,8376
14,0.009375,0.0090625,0.02983551855934896,0.14184167703536577,-0.01734245548041113,16752,8376
15,0.01,0.0096875,0.0299598046132713,0.1361307988163369,-0.014241535837800145,16752,8376
16,0.010625,0.0103125,0.030036991025448656,0.13205837338568358,-0.011244930376105288,16752,8376
17,0.011250000000000001,0.010937500000000001,0.030051232773736225,0.1299450508215469,-0.008727145106633668,16752,8376
18,0.011875000000000002,0.011562500000000002,0.02999853164160249,0.12979708890002628,-0.006861482326654145,16752,8376
19,0.012500000000000002,0.012187500000000002,0.02988595123967186,0.13134904200081446,-0.005671070175655348,16752,8376
20,0.013125000000000003,0.012812500000000003,0.02972794582492011,0.13416465953678314,-0.005084788554167857,16752,8376
21,0.013750000000000004,0.013437500000000003,0.02954200893959713,0.13774828508452358,-0.004983671068522618,16752,8376
22,0.014375000000000004,0.014062500000000004,0.029345090707439625,0.14163560462602184,-0.0052331587124968305,16752,8376
23,0.015000000000000005,0.014687500000000004,0.029151214160043293,0.1454510172149116,-0.005702787912563997,16752,8376
24,0.015625000000000003,0.015312500000000003,0.028970364615291233,0.14893268144730076,-0.006277103986347388,16752,8376
25,0.016250000000000004,0.015937500000000004,0.028808355202265767,0.151932706569628,-0.006861372579773892,16752,8376
26,0.016875000000000005,0.016562500000000004,0.028667328205407627,0.15440151968590052,-0.007384344669483717,16752,8376
27,0.017500000000000005,0.017187500000000005,0.028546588352702518,0.15636424867423815,-0.007799047040005532,16752,8376
28,0.018125000000000006,0.017812500000000005,0.02844353913233766,0.15789500526056965,-0.008081800539615571,16752,8376
29,0.018750000000000006,0.018437500000000006,0.028354566401116665,0.15909302946965234,-0.008229499927960881,16752,8376
30,0.019375000000000007,0.019062500000000007,0.02827577577792706,0.1600630604922795,-0.008255384497348379,16752,8376
31,0.020000000000000007,0.019687500000000007,0.028203538602123768,0.16090103660194474,-0.008183825293937103,16752,8376
32,0.020625000000000008,0.020312500000000008,0.02813483803953032,0.16168525405519268,-0.008044851372627478,16752,8376
33,0.02125000000000001,0.020937500000000008,0.02806743404015999,0.16247241119111036,-0.007869150067960537,16752,8376
34,0.02187500000000001,0.02156250000000001,0.02799988161724154,0.16329753321801518,-0.007684118124706643,16752,8376
35,0.02250000000000001,0.02218750000000001,0.0279314464350926,0.1641765878752384,-0.007511275614659987,16752,8376
36,0.02312500000000001,0.02281250000000001,0.027861960137922415,0.1651106250909181,-0.007365086116668333,16752,8376
37,0.02375000000000001,0.02343750000000001,0.027791652301024983,0.1660904483974103,-0.007252999608831606,16752,8376
38,0.02437500000000001,0.02406250000000001,0.02772098718061511,0.16710107350861536,-0.007176396224212033,16752,8376
39,0.025000000000000012,0.02468750000000001,0.02765052365932874,0.168125494356512,-0.007132061061824218,16752,8376
40,0.025625000000000012,0.025312500000000012,0.027580807979704525,0.16914751639880413,-0.007113844945919032,16752,8376
41,0.026250000000000013,0.025937500000000013,0.027512301833083175,0.17015360750402994,-0.0071142375584232285,16752,8376
42,0.026875000000000013,0.026562500000000013,0.027445343374031705,0.171133850445657,-0.007125670889076919,16752,8376
43,0.027500000000000014,0.027187500000000014,0.02738013558925234,0.17208216116232153,-0.007141461379164889,16752,8376
44,0.028125000000000015,0.027812500000000014,0.027316754979605062,0.17299597235390085,-0.007156374506759789,16752,8376
45,0.028750000000000015,0.028437500000000015,0.027255173311915404,0.17387558340940823,-0.007166849681524912,16752,8376
46,0.029375000000000016,0.029062500000000015,0.027195285866792096,0.17472335563932814,-0.007170955596005881,16752,8376
47,0.030000000000000016,0.029687500000000016,0.027136940823334066,0.17554289594454814,-0.007168159362418897,16752,8376
48,0.030625000000000017,0.030312500000000017,0.027079965890503654,0.1763383304783295,-0.007158991338741547,16752,8376
49,0.031250000000000014,0.030937500000000014,0.02702418978216392,0.17711372883124923,-0.007144676393955341,16752,8376
50,0.031875000000000014,0.031562500000000014,0.026969457465185975,0.17787270325320106,-0.0071267859129831275,16752,8376
51,0.032500000000000015,0.032187500000000015,0.026915639178411777,0.1786181791198249,-0.007106946698817659,16752,8376
