,t_u,t_p,p_diff,C_D,C_L,num_velocity_dofs,num_pressure_dofs
0,0.000625,0.0003125,0.09502317089307022,-1.2137579629071236,-0.002632877122572881,16752,8376
1,0.00125,0.0009375,0.057795864891912685,-0.7105761400380145,0.010867875305142867,16752,8376
2,0.001875,0.0015624999999999999,0.05294635559980754,-0.4721871658584434,0.025256946664544335,16752,8376
3,0.0025,0.0021875,0.04439547191982762,-0.26665230217149727,0.034757656964815774,16752,8376
4,0.003125,0.0028125000000000003,0.03701611280791439,-0.08291026141629697,0.038695419407232555,16752,8376
5,0.0037500000000000003,0.0034375000000000005,0.031994098721984554,0.04881952437411716,0.036998730495028144,16752,8376
6,0.004375,0.0040625,0.029075366532995472,0.12744653083326665,0.03030944282658004,16752,8376
7,0.005,0.0046875,0.027604382522412374,0.16780995672528226,0.020341595377583174,16752,8376
8,0.005625,0.0053124999999999995,0.02694245385587979,0.18593320288821447,0.009362383400903783,16752,8376
9,0.0062499999999999995,0.005937499999999999,0.026669137321573166,0.1927289692305264,-0.0005588755992733262,16752,8376
10,0.006874999999999999,0.006562499999999999,0.026586778006649214,0.19366363875554737,-0.008029787059008088,16752,8376
11,0.007499999999999999,0.007187499999999999,0.02663089838114252,0.19084755923098778,-0.012469635347204924,16752,8376
12,0.008124999999999999,0.007812499999999998,0.026782345542840535,0.18516037268211988,-0.013995227674001975,16752,8376
13,0.008749999999999999,0.008437499999999999,0.027018064104011086,0.1774692291763271,-0.013183380256688098,16752,8376
14,0.009375,0.0090625,0.027298232422559576,0.16895037381618902,-0.010814705959785315,16752,8376
15,0.01,0.0096875,0.02757404826377363,0.16089752017591535,-0.007666937520138112,16752,8376
16,0.010625,0.0103125,0.027801938253323,0.15439970711357673,-0.00438525095844342,16752,8376
17,0.011250000000000001,0.010937500000000001,0.02795348983693291,0.15011990907831607,-0.0014267879608795353,16752,8376
18,0.011875000000000002,0.011562500000000002,0.028018518864641906,0.14824190419163227,0.0009401462141485168,16752,8376
19,0.012500000000000002,0.012187500000000002,0.028002545751339425,0.14855143301235052,0.0026058918387767745,16752,8376
20,0.013125000000000003,0.012812500000000003,0.02792130178645047,0.15058057145764214,0.0035776132679049043,16752,8376
21,0.013750000000000004,0.013437500000000003,0.02779536984299813,0.15375987440672145,0.003939423774065719,16752,8376
22,0.014375000000000004,0.014062500000000004,0.02764514106487148,0.15753208051686723,0.0038178870687308217,16752,8376
23,0.015000000000000005,0.014687500000000004,0.02748822943863949,0.1614289345318974,0.003356593742687935,16752,8376
24,0.015625000000000003,0.015312500000000003,0.027337848676904475,0.1651051177081672,0.0026969614134930084,16752,8376
25,0.016250000000000004,0.015937500000000004,0.027202523802820622,0.1683436997334408,0.0019647894513186446,16752,8376
26,0.016875000000000005,0.016562500000000004,0.027086502033999982,0.1710428184910904,0.0012614852222885332,16752,8376
27,0.017500000000000005,0.017187500000000005,0.026990567178700964,0.17319232267097945,0.0006594292231233505,16752,8376
